Name,Team_to,League_to,Season,Transfer_fee
Savio Nsereko,Fiorentina,Serie A,2009-2010,6200000
Gonzalo Bergessio,Saint-Étienne,Ligue 1,2009-2010,6200000
David Rozehnal,Hamburger SV,Bundesliga,2009-2010,6000000
Matuzalém,Lazio,Serie A,2009-2010,6000000
Iván Marcano,Villarreal CF,La Liga,2009-2010,6000000
Younès Kaboul,Spurs,Premier League,2009-2010,5900000
Roger Johnson,Birmingham,Premier League,2009-2010,5900000
Kyle Naughton,Spurs,Premier League,2009-2010,5900000
Kyle Walker,Spurs,Premier League,2009-2010,5900000
Lorik Cana,Sunderland,Premier League,2009-2010,5800000
Tuncay Sanli,Stoke City,Premier League,2009-2010,5700000
James Collins,Aston Villa,Premier League,2009-2010,5700000
Ikechukwu Uche,Real Zaragoza,La Liga,2009-2010,5500000
Sergio Asenjo,Atlético Madrid,La Liga,2009-2010,5500000
Lorenzo De Silvestri,Fiorentina,Serie A,2009-2010,5500000
Houssine Kharja,Genoa,Serie A,2009-2010,5200000
James McCarthy,Wigan,Premier League,2009-2010,5100000
Maxwell,FC Barcelona,La Liga,2009-2010,5000000
Álvaro Negredo,Real Madrid,La Liga,2009-2010,5000000
Marco Amelia,Genoa,Serie A,2009-2010,5000000
Réver,VfL Wolfsburg,Bundesliga,2009-2010,5000000
Rubinho,US Palermo,Serie A,2009-2010,5000000
Miguel Ángel Moyà,Valencia CF,La Liga,2009-2010,5000000
Franco Semioli,Sampdoria,Serie A,2009-2010,5000000
Boubacar Sanogo,Saint-Étienne,Ligue 1,2009-2010,5000000
Erwin Hoffer,SSC Napoli,Serie A,2009-2010,5000000
Riccardo Meggiorini,Genoa,Serie A,2009-2010,5000000
Andrea Pisanu,Bologna,Serie A,2009-2010,5000000
Rodrigo Palacio,Genoa,Serie A,2009-2010,4900000
Pavel Pogrebnyak,VfB Stuttgart,Bundesliga,2009-2010,4800000
Zat Knight,Bolton,Premier League,2009-2010,4700000
Steven Fletcher,Burnley,Premier League,2009-2010,4700000
Franco Zuculini,TSG Hoffenheim,Bundesliga,2009-2010,4600000
Alberto Zapater,Genoa,Serie A,2009-2010,4500000
Marco Marchionni,Fiorentina,Serie A,2009-2010,4500000
Kevin-Prince Boateng,Portsmouth,Premier League,2009-2010,4500000
Édgar Barreto,Atalanta,Serie A,2009-2010,4500000
Reginaldo,Siena,Serie A,2009-2010,4500000
Nenê,Cagliari Calcio,Serie A,2009-2010,4500000
Maicosuel,TSG Hoffenheim,Bundesliga,2009-2010,4500000
Mame Diouf,Man Utd,Premier League,2009-2010,4500000
Raúl Bobadilla,Bor. M'gladbach,Bundesliga,2009-2010,4200000
Mats Hummels,Bor. Dortmund,Bundesliga,2009-2010,4200000
Lucas Barrios,Bor. Dortmund,Bundesliga,2009-2010,4200000
Fraizer Campbell,Sunderland,Premier League,2009-2010,4100000
Álvaro Arbeloa,Real Madrid,La Liga,2009-2010,4000000
Pedro León,Getafe CF,La Liga,2009-2010,4000000
Damien Duff,Fulham,Premier League,2009-2010,4000000
Zé Roberto,Hamburger SV,Bundesliga,2009-2010,4000000
Mathieu Coutadeur,Monaco,Ligue 1,2009-2010,4000000
Esteban Granero,Real Madrid,La Liga,2009-2010,4000000
Pablo Barrientos,Catania,Serie A,2009-2010,4000000
Stephen Hunt,Hull City,Premier League,2009-2010,4000000
Michaël Ciani,G. Bordeaux,Ligue 1,2009-2010,4000000
Gabriel Obertan,Man Utd,Premier League,2009-2010,4000000
Brown Ideye,FC Sochaux,Ligue 1,2009-2010,4000000
Gaël Givet,Blackburn,Premier League,2009-2010,4000000
Juan Forlín,Espanyol,La Liga,2009-2010,4000000
Leandro Caruso,Udinese Calcio,Serie A,2009-2010,4000000
Pablo Fontanello,Parma,Serie A,2009-2010,4000000
Scott Dann,Birmingham,Premier League,2009-2010,4000000
Leonardo Bonucci,Genoa,Serie A,2009-2010,4000000
Eren Derdiyok,Bay. Leverkusen,Bundesliga,2009-2010,3800000
Radoslav Kovac,West Ham,Premier League,2009-2010,3800000
Andrea Dossena,SSC Napoli,Serie A,2009-2010,3750000
Asmir Begovic,Stoke City,Premier League,2009-2010,3750000
Emiliano Moretti,Genoa,Serie A,2009-2010,3700000
Thomas Kahlenberg,VfL Wolfsburg,Bundesliga,2009-2010,3700000
Mateja Kezman,Paris SG,Ligue 1,2009-2010,3700000
Juan Arango,Bor. M'gladbach,Bundesliga,2009-2010,3600000
Antonio Mirante,Parma,Serie A,2009-2010,3600000
Hérita Ilunga,West Ham,Premier League,2009-2010,3500000
Gelson Fernandes,Saint-Étienne,Ligue 1,2009-2010,3500000
Ivan Obradovic,Real Zaragoza,La Liga,2009-2010,3500000
Boško Jankovic,Genoa,Serie A,2009-2010,3500000
Daniele Mannini,Sampdoria,Serie A,2009-2010,3500000
Marco Motta,AS Roma,Serie A,2009-2010,3500000
Paulo Machado,Toulouse,Ligue 1,2009-2010,3500000
Dean Whitehead,Stoke City,Premier League,2009-2010,3500000
Emiliano Viviano,Bologna,Serie A,2009-2010,3500000
Alexander Tettey,Stade Rennais,Ligue 1,2009-2010,3500000
Mario Bolatti,Fiorentina,Serie A,2009-2010,3500000
Seyi Olofinjana,Hull City,Premier League,2009-2010,3500000
Michele Paolucci,Siena,Serie A,2009-2010,3500000
Craig Gardner,Birmingham,Premier League,2009-2010,3500000
Fabián Orellana,Udinese Calcio,Serie A,2009-2010,3500000
Míchel,Birmingham,Premier League,2009-2010,3300000
Michele Paolucci,Juventus,Serie A,2009-2010,3300000
Fernando Torres,Chelsea,Premier League,2010-2011,58500000
Andy Carroll,Liverpool,Premier League,2010-2011,41000000
David Villa,FC Barcelona,La Liga,2010-2011,40000000
Edin Dzeko,Man City,Premier League,2010-2011,37000000
Ángel Di María,Real Madrid,La Liga,2010-2011,33000000
Yaya Touré,Man City,Premier League,2010-2011,30000000
Mario Balotelli,Man City,Premier League,2010-2011,29500000
David Silva,Man City,Premier League,2010-2011,28750000
Luis Suárez,Liverpool,Premier League,2010-2011,26500000
David Luiz,Chelsea,Premier League,2010-2011,25000000
Aleksandar Kolarov,Man City,Premier League,2010-2011,23860000
Yoann Gourcuff,Olympique Lyon,Ligue 1,2010-2011,22000000
James Milner,Man City,Premier League,2010-2011,22000000
Ramires,Chelsea,Premier League,2010-2011,22000000
Darren Bent,Aston Villa,Premier League,2010-2011,21500000
Javier Mascherano,FC Barcelona,La Liga,2010-2011,20000000
Andrea Ranocchia,Inter,Serie A,2010-2011,18500000
Mesut Özil,Real Madrid,La Liga,2010-2011,18000000
Giampaolo Pazzini,Inter,Serie A,2010-2011,18000000
Robinho,AC Milan,Serie A,2010-2011,18000000
Luiz Gustavo,Bayern Munich ,Bundesliga,2010-2011,17000000
André-Pierre Gignac,Marseille,Ligue 1,2010-2011,16000000
Asamoah Gyan,Sunderland,Premier League,2010-2011,16000000
Diego,VfL Wolfsburg,Bundesliga,2010-2011,15500000
Loïc Rémy,Marseille,Ligue 1,2010-2011,15500000
Leonardo Bonucci,Juventus,Serie A,2010-2011,15500000
Milos Krasic,Juventus,Serie A,2010-2011,15000000
Sami Khedira,Real Madrid,La Liga,2010-2011,14000000
Klaas-Jan Huntelaar,FC Schalke 04,Bundesliga,2010-2011,14000000
Hernanes,Lazio,Serie A,2010-2011,13500000
Raúl Meireles,Liverpool,Premier League,2010-2011,13000000
Jérôme Boateng,Man City,Premier League,2010-2011,12500000
Laurent Koscielny,Arsenal,Premier League,2010-2011,12500000
Simon Kjær,VfL Wolfsburg,Bundesliga,2010-2011,12000000
Filipe Luís,Atlético Madrid,La Liga,2010-2011,12000000
Jorge Martínez,Juventus,Serie A,2010-2011,12000000
José Manuel Jurado,FC Schalke 04,Bundesliga,2010-2011,11000000
Rafael van der Vaart,Spurs,Premier League,2010-2011,10500000
Roberto Soldado,Valencia CF,La Liga,2010-2011,10000000
Sandro,Spurs,Premier League,2010-2011,10000000
Pedro León,Real Madrid,La Liga,2010-2011,10000000
Stephen Ireland,Aston Villa,Premier League,2010-2011,9700000
Kenwyne Jones,Stoke City,Premier League,2010-2011,9700000
Adriano,FC Barcelona,La Liga,2010-2011,9500000
Miguel Veloso,Genoa,Serie A,2010-2011,9000000
Bebé,Man Utd,Premier League,2010-2011,8800000
Sergio Floccari,Lazio,Serie A,2010-2011,8500000
Víctor Ruiz,SSC Napoli,Serie A,2010-2011,8500000
Ricardo Carvalho,Real Madrid,La Liga,2010-2011,8000000
Rafinha,Genoa,Serie A,2010-2011,8000000
Diego Godín,Atlético Madrid,La Liga,2010-2011,8000000
Nicolás Burdisso,AS Roma,Serie A,2010-2011,8000000
Chris Smalling,Man Utd,Premier League,2010-2011,8000000
Heiko Westermann,Hamburger SV,Bundesliga,2010-2011,7500000
Wesley,Werder Bremen,Bundesliga,2010-2011,7500000
Chicharito,Man Utd,Premier League,2010-2011,7500000
Steven Fletcher,Wolves,Premier League,2010-2011,7200000
Yossi Benayoun,Chelsea,Premier League,2010-2011,7000000
Stéphane Sessègnon,Sunderland,Premier League,2010-2011,7000000
Nikola Zigic,Birmingham,Premier League,2010-2011,7000000
Dieumerci Mbokani,Monaco,Ligue 1,2010-2011,7000000
Jonathan Biabiany,Sampdoria,Serie A,2010-2011,7000000
Mario Mandzukic,VfL Wolfsburg,Bundesliga,2010-2011,7000000
Elias,Atlético Madrid,La Liga,2010-2011,7000000
Ryan Babel,TSG Hoffenheim,Bundesliga,2010-2011,7000000
Blerim Dzemaili,Parma,Serie A,2010-2011,7000000
Luca Antonelli,Genoa,Serie A,2010-2011,7000000
Ben Foster,Birmingham,Premier League,2010-2011,7000000
Andrea Rispoli,Parma,Serie A,2010-2011,7000000
Sébastien Squillaci,Arsenal,Premier League,2010-2011,6500000
Tino Costa,Valencia CF,La Liga,2010-2011,6500000
Víctor Montaño,Stade Rennais,Ligue 1,2010-2011,6500000
Mattia Destro,Genoa,Serie A,2010-2011,6500000
Felipe,Fiorentina,Serie A,2010-2011,6300000
Jean II Makoun,Aston Villa,Premier League,2010-2011,6200000
Marko Arnautovic,Werder Bremen,Bundesliga,2010-2011,6200000
Jimmy Briand,Olympique Lyon,Ligue 1,2010-2011,6000000
Mousa Dembélé,Fulham,Premier League,2010-2011,6000000
Raffaele Palladino,Parma,Serie A,2010-2011,6000000
Hatem Ben Arfa,Newcastle,Premier League,2010-2011,6000000
César Azpilicueta,Marseille,Ligue 1,2010-2011,6000000
Abdoulay Konko,Genoa,Serie A,2010-2011,6000000
Sergio Canales,Real Madrid,La Liga,2010-2011,6000000
Tomas Kalas,Chelsea,Premier League,2010-2011,6000000
Kevin-Prince Boateng,Genoa,Serie A,2010-2011,5700000
Gojko Kacar,Hamburger SV,Bundesliga,2010-2011,5500000
Mehmet Topal,Valencia CF,La Liga,2010-2011,5500000
Tiberio Guarente,Sevilla FC,La Liga,2010-2011,5500000
Christian Poulsen,Liverpool,Premier League,2010-2011,5480000
Gylfi Sigurdsson,TSG Hoffenheim,Bundesliga,2010-2011,5200000
Nicola Pozzi,Sampdoria,Serie A,2010-2011,5200000
Mauricio Pinilla,US Palermo,Serie A,2010-2011,5100000
Nenê,Paris SG,Ligue 1,2010-2011,5000000
Patrick Helmes,VfL Wolfsburg,Bundesliga,2010-2011,5000000
Alexis,Sevilla FC,La Liga,2010-2011,5000000
Razak Boukari,Stade Rennais,Ligue 1,2010-2011,5000000
Anders Lindegaard,Man Utd,Premier League,2010-2011,5000000
Chico,Genoa,Serie A,2010-2011,5000000
Ezequiel Muñoz,US Palermo,Serie A,2010-2011,5000000
Pablo González,US Palermo,Serie A,2010-2011,5000000
Pablo Barrera,West Ham,Premier League,2010-2011,4800000
Jean Beausejour,Birmingham,Premier League,2010-2011,4800000
Robert Lewandowski,Bor. Dortmund,Bundesliga,2010-2011,4750000
Daniel Osvaldo,Espanyol,La Liga,2010-2011,4600000
Gaetano D'Agostino,Fiorentina,Serie A,2010-2011,4500000
Barreto,Bari,Serie A,2010-2011,4500000
Eduardo,Genoa,Serie A,2010-2011,4500000
Tuncay Sanli,VfL Wolfsburg,Bundesliga,2010-2011,4500000
Fahid Ben Khalfallah,G. Bordeaux,Ligue 1,2010-2011,4500000
Sokratis,AC Milan,Serie A,2010-2011,4500000
Marco Storari,Juventus,Serie A,2010-2011,4500000
Massimo Maccarone,US Palermo,Serie A,2010-2011,4400000
Alberto Paloschi,AC Milan,Serie A,2010-2011,4350000
Aritz Aduriz,Valencia CF,La Liga,2010-2011,4300000
Cheik Tioté,Newcastle,Premier League,2010-2011,4280000
Juanfran,Atlético Madrid,La Liga,2010-2011,4250000
Jonathan Biabiany,Inter,Serie A,2010-2011,4200000
Éder,Brescia,Serie A,2010-2011,4200000
Winston Reid,West Ham,Premier League,2010-2011,4200000
Federico Rodríguez,Genoa,Serie A,2010-2011,4200000
Rod Fanni,Marseille,Ligue 1,2010-2011,4000000
Onyekachi Apam,Stade Rennais,Ligue 1,2010-2011,4000000
Igor de Camargo,Bor. M'gladbach,Bundesliga,2010-2011,4000000
Curtis Davies,Birmingham,Premier League,2010-2011,4000000
Paul Konchesky,Liverpool,Premier League,2010-2011,4000000
Ronnie Stam,Wigan,Premier League,2010-2011,4000000
Mauro Formica,Blackburn,Premier League,2010-2011,4000000
Alessio Cerci,Fiorentina,Serie A,2010-2011,4000000
Juraj Kucka,Genoa,Serie A,2010-2011,4000000
Sebastian Rudy,TSG Hoffenheim,Bundesliga,2010-2011,4000000
Dídac Vilà,AC Milan,Serie A,2010-2011,4000000
Wellington Silva,Arsenal,Premier League,2010-2011,4000000
Roberto Firmino,TSG Hoffenheim,Bundesliga,2010-2011,4000000
Cristian Molinaro,VfB Stuttgart,Bundesliga,2010-2011,3900000
Lorenzo Ariaudo,Cagliari Calcio,Serie A,2010-2011,3800000
Mauro Boselli,Wigan,Premier League,2010-2011,3700000
Steven Pienaar,Spurs,Premier League,2010-2011,3600000
Stephen Hunt,Wolves,Premier League,2010-2011,3600000
Sebastián Fernández,Málaga CF,La Liga,2010-2011,3600000
Marc Wilson,Stoke City,Premier League,2010-2011,3600000
Nelson Valdez,Hércules CF,La Liga,2010-2011,3500000
Georg Niedermeier,VfB Stuttgart,Bundesliga,2010-2011,3500000
Anthony Modeste,G. Bordeaux,Ligue 1,2010-2011,3500000
Neto,Fiorentina,Serie A,2010-2011,3500000
Alan,RB Salzburg,Bundesliga,2010-2011,3500000
José Salomón Rondón,Málaga CF,La Liga,2010-2011,3500000
Gastón Ramírez,Bologna,Serie A,2010-2011,3360000
Jonathan Walters,Stoke City,Premier League,2010-2011,3300000
Jelle Van Damme,Wolves,Premier League,2010-2011,3250000
Giuseppe Sculli,Lazio,Serie A,2010-2011,3000000
Ibrahim Afellay,FC Barcelona,La Liga,2010-2011,3000000
Peter Odemwingie,West Brom,Premier League,2010-2011,3000000
Javier Pastore,Paris SG,Ligue 1,2011-2012,42000000
Sergio Agüero,Man City,Premier League,2011-2012,40000000
Falcao,Atlético Madrid,La Liga,2011-2012,40000000
Cesc Fàbregas,FC Barcelona,La Liga,2011-2012,34000000
Manuel Neuer,Bayern Munich ,Bundesliga,2011-2012,30000000
Fábio Coentrão,Real Madrid,La Liga,2011-2012,30000000
Samir Nasri,Man City,Premier League,2011-2012,27500000
Juan Mata,Chelsea,Premier League,2011-2012,26700000
Alexis Sánchez,FC Barcelona,La Liga,2011-2012,26000000
David de Gea,Man Utd,Premier League,2011-2012,25000000
Zlatan Ibrahimovic,AC Milan,Serie A,2011-2012,24000000
Santi Cazorla,Málaga CF,La Liga,2011-2012,23000000
Stewart Downing,Liverpool,Premier League,2011-2012,22800000
Phil Jones,Man Utd,Premier League,2011-2012,19300000
Ashley Young,Man Utd,Premier League,2011-2012,18000000
Gökhan Inler,SSC Napoli,Serie A,2011-2012,18000000
Jordan Henderson,Liverpool,Premier League,2011-2012,18000000
Érik Lamela,AS Roma,Serie A,2011-2012,17000000
Daniel Osvaldo,AS Roma,Serie A,2011-2012,16000000
Alessandro Matri,Juventus,Serie A,2011-2012,15500000
Stephan El Shaarawy,AC Milan,Serie A,2011-2012,15500000
Mirko Vucinic,Juventus,Serie A,2011-2012,15000000
Romelu Lukaku,Chelsea,Premier League,2011-2012,15000000
Alex Oxlade-Chamberlain,Arsenal,Premier League,2011-2012,13800000
Raúl Meireles,Chelsea,Premier League,2011-2012,13500000
Jérôme Boateng,Bayern Munich ,Bundesliga,2011-2012,13500000
Pizzi,Atlético Madrid,La Liga,2011-2012,13500000
Eduardo Vargas,SSC Napoli,Serie A,2011-2012,13500000
Arda Turan,Atlético Madrid,La Liga,2011-2012,13000000
Arturo Vidal,Juventus,Serie A,2011-2012,12500000
Edinson Cavani,SSC Napoli,Serie A,2011-2012,12000000
Gervinho,Arsenal,Premier League,2011-2012,12000000
Mikel Arteta,Arsenal,Premier League,2011-2012,12000000
Bojan Krkic,AS Roma,Serie A,2011-2012,12000000
Papiss Demba Cissé,Newcastle,Premier League,2011-2012,12000000
Bryan Ruíz,Fulham,Premier League,2011-2012,12000000
Stefan Savic,Man City,Premier League,2011-2012,12000000
Thiago Motta,Paris SG,Ligue 1,2011-2012,11500000
Per Mertesacker,Arsenal,Premier League,2011-2012,11300000
Peter Crouch,Stoke City,Premier League,2011-2012,11300000
Jérémy Toulalan,Málaga CF,La Liga,2011-2012,11000000
Kévin Gameiro,Paris SG,Ligue 1,2011-2012,11000000
Miralem Pjanic,AS Roma,Serie A,2011-2012,11000000
Charles N'Zogbia,Aston Villa,Premier League,2011-2012,10800000
Fabio Quagliarella,Juventus,Serie A,2011-2012,10500000
Ricardo Álvarez,Inter,Serie A,2011-2012,10500000
Nuri Sahin,Real Madrid,La Liga,2011-2012,10000000
Marco Borriello,AS Roma,Serie A,2011-2012,10000000
Bernd Leno,Bay. Leverkusen,Bundesliga,2011-2012,10000000
Raphaël Varane,Real Madrid,La Liga,2011-2012,10000000
Stephan Lichtsteiner,Juventus,Serie A,2011-2012,9930000
Wilson Palacios,Stoke City,Premier League,2011-2012,9000000
Eljero Elia,Juventus,Serie A,2011-2012,9000000
Christian Träsch,VfL Wolfsburg,Bundesliga,2011-2012,9000000
Cristián Zapata,Villarreal CF,La Liga,2011-2012,9000000
Dimitri Payet,LOSC Lille,Ligue 1,2011-2012,9000000
Sébastien Frey,Genoa,Serie A,2011-2012,9000000
Blerim Dzemaili,SSC Napoli,Serie A,2011-2012,9000000
Connor Wickham,Sunderland,Premier League,2011-2012,9000000
Miguel Britos,SSC Napoli,Serie A,2011-2012,9000000
Thibaut Courtois,Chelsea,Premier League,2011-2012,8950000
Roberto,Real Zaragoza,La Liga,2011-2012,8600000
André Schürrle,Bay. Leverkusen,Bundesliga,2011-2012,8500000
Emiliano Viviano,US Palermo,Serie A,2011-2012,8500000
Ricardo Rodríguez,VfL Wolfsburg,Bundesliga,2011-2012,8500000
Gary Cahill,Chelsea,Premier League,2011-2012,8400000
Charlie Adam,Liverpool,Premier League,2011-2012,8400000
Alberto Gilardino,Genoa,Serie A,2011-2012,8000000
Jérémy Ménez,Paris SG,Ligue 1,2011-2012,8000000
Kevin De Bruyne,Chelsea,Premier League,2011-2012,8000000
Víctor Ruiz,Valencia CF,La Liga,2011-2012,8000000
Blaise Matuidi,Paris SG,Ligue 1,2011-2012,8000000
José Enrique,Liverpool,Premier League,2011-2012,8000000
Sílvio,Atlético Madrid,La Liga,2011-2012,8000000
Mohamed Sissoko,Paris SG,Ligue 1,2011-2012,8000000
Roger Johnson,Wolves,Premier League,2011-2012,8000000
Jonathan de Guzmán,Villarreal CF,La Liga,2011-2012,8000000
Nolan Roux,LOSC Lille,Ligue 1,2011-2012,8000000
Matías Silvestre,US Palermo,Serie A,2011-2012,8000000
Sebastián Coates,Liverpool,Premier League,2011-2012,8000000
Gaël Clichy,Man City,Premier League,2011-2012,7750000
Fabio Borini,AS Roma,Serie A,2011-2012,7600000
Kevin-Prince Boateng,AC Milan,Serie A,2011-2012,7500000
Simone Pepe,Juventus,Serie A,2011-2012,7500000
Pablo Piatti,Valencia CF,La Liga,2011-2012,7500000
Lucas Piazón,Chelsea,Premier League,2011-2012,7500000
Ander Herrera,Athletic Bilbao,La Liga,2011-2012,7500000
Maarten Stekelenburg,AS Roma,Serie A,2011-2012,7330000
Emanuele Giaccherini,Juventus,Serie A,2011-2012,7250000
André Santos,Arsenal,Premier League,2011-2012,7000000
Kévin Constant,Genoa,Serie A,2011-2012,7000000
Scott Dann,Blackburn,Premier League,2011-2012,6800000
Mevlüt Erdinc,Stade Rennais,Ligue 1,2011-2012,6600000
Nikica Jelavic,Everton,Premier League,2011-2012,6600000
Craig Gardner,Sunderland,Premier League,2011-2012,6600000
Ju-yeong Park,Arsenal,Premier League,2011-2012,6500000
Alexander Merkel,Genoa,Serie A,2011-2012,6500000
Scott Parker,Spurs,Premier League,2011-2012,6200000
Borja Valero,Villarreal CF,La Liga,2011-2012,6000000
Adil Rami,Valencia CF,La Liga,2011-2012,6000000
Dani Parejo,Valencia CF,La Liga,2011-2012,6000000
Nacho Monreal,Málaga CF,La Liga,2011-2012,6000000
Emmanuel Rivière,Toulouse,Ligue 1,2011-2012,6000000
Isco,Málaga CF,La Liga,2011-2012,6000000
Djibril Cissé,Lazio,Serie A,2011-2012,5800000
Bobby Zamora,QPR,Premier League,2011-2012,5800000
Giovanni Sio,VfL Wolfsburg,Bundesliga,2011-2012,5800000
Davide Santon,Newcastle,Premier League,2011-2012,5650000
Rafinha,Bayern Munich ,Bundesliga,2011-2012,5500000
Ilkay Gündogan,Bor. Dortmund,Bundesliga,2011-2012,5500000
Ivan Perisic,Bor. Dortmund,Bundesliga,2011-2012,5500000
Maxi Moralez,Atalanta,Serie A,2011-2012,5300000
Édgar Barreto,US Palermo,Serie A,2011-2012,5300000
Federico Marchetti,Lazio,Serie A,2011-2012,5200000
Shane Long,West Brom,Premier League,2011-2012,5100000
Alex,Paris SG,Ligue 1,2011-2012,5000000
Alou Diarra,Marseille,Ligue 1,2011-2012,5000000
Yohan Cabaye,Newcastle,Premier League,2011-2012,5000000
Diego Forlán,Inter,Serie A,2011-2012,5000000
Mehmet Ekici,Werder Bremen,Bundesliga,2011-2012,5000000
José Callejón,Real Madrid,La Liga,2011-2012,5000000
Djibril Cissé,QPR,Premier League,2011-2012,5000000
Ikechukwu Uche,Villarreal CF,La Liga,2011-2012,5000000
Rúben Micael,Atlético Madrid,La Liga,2011-2012,5000000
Gabriel Torje,Udinese Calcio,Serie A,2011-2012,5000000
Jonathan,Inter,Serie A,2011-2012,5000000
Éder,RC Cesena,Serie A,2011-2012,5000000
Simone Padoin,Juventus,Serie A,2011-2012,5000000
Alessandro Diamanti,Bologna,Serie A,2011-2012,4860000
Nedum Onuoha,QPR,Premier League,2011-2012,4700000
Jean Beausejour,Wigan,Premier League,2011-2012,4700000
Oriol Romeu,Chelsea,Premier League,2011-2012,4600000
Yuto Nagatomo,Inter,Serie A,2011-2012,4500000
Shaun Wright-Phillips,QPR,Premier League,2011-2012,4500000
Alan Hutton,Aston Villa,Premier League,2011-2012,4500000
John O'Shea,Sunderland,Premier League,2011-2012,4500000
Vedad Ibisevic,VfB Stuttgart,Bundesliga,2011-2012,4500000
Andrea Lazzari,Fiorentina,Serie A,2011-2012,4500000
Manu del Moral,Sevilla FC,La Liga,2011-2012,4500000
David N'Gog,Bolton,Premier League,2011-2012,4500000
Cameron Jerome,Stoke City,Premier League,2011-2012,4500000
Pape Diakhaté,Granada CF,La Liga,2011-2012,4500000
Zé Love,Genoa,Serie A,2011-2012,4500000
José Ángel,AS Roma,Serie A,2011-2012,4500000
Diego Buonanotte,Málaga CF,La Liga,2011-2012,4500000
Franco Vázquez,US Palermo,Serie A,2011-2012,4500000
Ali Al-Habsi,Wigan,Premier League,2011-2012,4300000
Joaquín,Málaga CF,La Liga,2011-2012,4200000
Emiliano Viviano,Inter,Serie A,2011-2012,4100000
Vieirinha,VfL Wolfsburg,Bundesliga,2011-2012,4000000
Abdoulay Konko,Lazio,Serie A,2011-2012,4000000
Julien Féret,Stade Rennais,Ligue 1,2011-2012,4000000
Ivo Ilicevic,Hamburger SV,Bundesliga,2011-2012,4000000
Sokratis,Genoa,Serie A,2011-2012,4000000
Gabriel Silva,Granada CF,La Liga,2011-2012,4000000
Marco Rossi,RC Cesena,Serie A,2011-2012,4000000
Salvatore Sirigu,Paris SG,Ligue 1,2011-2012,3900000
Danny Graham,Swansea,Premier League,2011-2012,3900000
Ryan Bennett,Norwich,Premier League,2011-2012,3850000
Umut Bulut,Toulouse,Ligue 1,2011-2012,3800000
Christian Fuchs,FC Schalke 04,Bundesliga,2011-2012,3800000
Juan Jesus,Inter,Serie A,2011-2012,3800000
Shay Given,Aston Villa,Premier League,2011-2012,3750000
Jamie O'Hara,Wolves,Premier League,2011-2012,3750000
Marco Motta,Juventus,Serie A,2011-2012,3750000
Marvin Sordell,Bolton,Premier League,2011-2012,3600000
José Antonio Reyes,Sevilla FC,La Liga,2011-2012,3500000
Maxwell,Paris SG,Ligue 1,2011-2012,3500000
Barreto,Udinese Calcio,Serie A,2011-2012,3500000
Nicolas N'Koulou,Marseille,Ligue 1,2011-2012,3500000
Jonathan Pitroipa,Stade Rennais,Ligue 1,2011-2012,3500000
Thiago Silva,Paris SG,Ligue 1,2012-2013,42000000
Lucas Moura,Paris SG,Ligue 1,2012-2013,40000000
Javi Martínez,Bayern Munich ,Bundesliga,2012-2013,40000000
Eden Hazard,Chelsea,Premier League,2012-2013,35000000
Oscar,Chelsea,Premier League,2012-2013,32000000
Robin van Persie,Man Utd,Premier League,2012-2013,30700000
Luka Modric,Real Madrid,La Liga,2012-2013,30000000
Ezequiel Lavezzi,Paris SG,Ligue 1,2012-2013,28950000
Zlatan Ibrahimovic,Paris SG,Ligue 1,2012-2013,21000000
Javi García,Man City,Premier League,2012-2013,20200000
Mario Balotelli,AC Milan,Serie A,2012-2013,20000000
Alex Song,FC Barcelona,La Liga,2012-2013,19000000
Santi Cazorla,Arsenal,Premier League,2012-2013,19000000
Mousa Dembélé,Spurs,Premier League,2012-2013,19000000
Joe Allen,Liverpool,Premier League,2012-2013,19000000
Kwadwo Asamoah,Juventus,Serie A,2012-2013,18000000
Marco Reus,Bor. Dortmund,Bundesliga,2012-2013,17100000
Shinji Kagawa,Man Utd,Premier League,2012-2013,16000000
Gastón Ramírez,Southampton,Premier League,2012-2013,15200000
Steven Fletcher,Sunderland,Premier League,2012-2013,15200000
Matija Nastasic,Man City,Premier League,2012-2013,15200000
Lukas Podolski,Arsenal,Premier League,2012-2013,15000000
Daniel Sturridge,Liverpool,Premier League,2012-2013,15000000
Christopher Samba,QPR,Premier League,2012-2013,15000000
Jack Rodwell,Man City,Premier League,2012-2013,15000000
Samir Handanovic,Inter,Serie A,2012-2013,15000000
Jordi Alba,FC Barcelona,La Liga,2012-2013,14000000
Carlos Vela,Real Sociedad,La Liga,2012-2013,14000000
Mauricio Isla,Juventus,Serie A,2012-2013,13900000
Fabio Borini,Liverpool,Premier League,2012-2013,13300000
Rafael van der Vaart,Hamburger SV,Bundesliga,2012-2013,13000000
Mario Mandzukic,Bayern Munich ,Bundesliga,2012-2013,13000000
Philippe Coutinho,Liverpool,Premier League,2012-2013,13000000
Hugo Lloris,Spurs,Premier League,2012-2013,12600000
Adam Johnson,Sunderland,Premier League,2012-2013,12600000
Jan Vertonghen,Spurs,Premier League,2012-2013,12500000
Giampaolo Pazzini,AC Milan,Serie A,2012-2013,12500000
Olivier Giroud,Arsenal,Premier League,2012-2013,12000000
Luuk de Jong,Bor. M'gladbach,Bundesliga,2012-2013,12000000
Marco Verratti,Paris SG,Ligue 1,2012-2013,12000000
Paulo Dybala,US Palermo,Serie A,2012-2013,11900000
Xherdan Shaqiri,Bayern Munich ,Bundesliga,2012-2013,11800000
